## This file was created at AspGD on Thu Sep 24 08:59:44 PDT 2009
Afu5g11810	ASPL0000062573	nudA
Afu6g13370	ASPL0000028873	AN5455
Afu8g05570	ASPL0000051511	AN1546
Afu3g05890	ASPL0000037137	AN3423
Afu5g02720	ASPL0000009625	AN8121
Afu2g05390	ASPL0000063233	AN7506
Afu5g03120	ASPL0000014026	AN11052
Afu7g01920	ASPL0000039770	AN9120
Afu5g11900	ASPL0000055146	AN0112
Afu7g01840	ASPL0000040774	AN9149
Afu5g09190	ASPL0000060343	AN0225
Afu6g04360	ASPL0000007264	AN6581
Afu6g02070	ASPL0000080319	AN8672
Afu2g08850	ASPL0000000502	AN6112
Afu5g13190	ASPL0000003525	AN6875
Afu4g14560	ASPL0000062553	mdpG
Afu8g04270	ASPL0000044770	AN10191
Afu3g12810	ASPL0000041456	AN3123
Afu6g06540	ASPL0000029634	AN5774
Afu2g02520	ASPL0000076561	teaA
Afu4g04350	ASPL0000064563	AN7014
Afu6g13200	ASPL0000030152	AN5491
Afu6g11190	ASPL0000051911	AN0576
Afu5g06330	ASPL0000042729	AN2278
Afu4g11220	ASPL0000027538	hxA
Afu1g11420	ASPL0000054659	AN1158
Afu2g13780	ASPL0000047410	AN2420
Afu1g11450	ASPL0000059800	AN1156
Afu7g00160	ASPL0000006397	aptA
Afu6g04830	ASPL0000004793	AN6551
Afu5g07430	ASPL0000066219	AN7783
Afu5g06750	ASPL0000049067	AN2246
Afu5g09460	ASPL0000071763	AN8813
Afu4g03000	ASPL0000048631	AN2481
Afu1g02140	ASPL0000053489	AN10060
Afu3g12530	ASPL0000039187	AN3101
Afu2g02170	ASPL0000075987	AN4597
Afu5g09710	ASPL0000075845	AN8783
Afu7g03760	ASPL0000014345	AN4278
Afu2g13290	ASPL0000005466	AN6228
Afu3g01400	ASPL0000030210	AN8489
Afu3g08840	ASPL0000037303	AN3026
Afu5g00790	ASPL0000028138	AN8344
Afu2g03560	ASPL0000074067	nikA
Afu6g13690	ASPL0000029372	top2
Afu6g08300	ASPL0000012082	AN3933
Afu4g07710	ASPL0000074543	AN4462
Afu6g13410	ASPL0000031473	AN5452
Afu1g10290	ASPL0000052010	AN1255
Afu8g05660	ASPL0000043272	AN1558
Afu2g09490	ASPL0000002483	AN6060
Afu7g02370	ASPL0000041040	AN9077
Afu5g02260	ASPL0000043388	AN8928
Afu2g16850	ASPL0000065875	bimD
Afu2g10000	ASPL0000004985	AN6007
Afu6g08020	ASPL0000018173	AN3952
Afu1g05280	ASPL0000058331	AN0244
Afu4g10210	ASPL0000045640	AN2011
Afu6g14330	ASPL0000010591	AN3972
Afu3g08000	ASPL0000034610	AN2925
Afu3g08260	ASPL0000036762	AN2963
Afu5g12670	ASPL0000056396	nup192
Afu7g03870	ASPL0000010859	AN4270
Afu7g06020	ASPL0000004413	nup170
Afu2g10070	ASPL0000006265	AN5999
Afu2g10460	ASPL0000005758	AN10756
Afu1g02460	ASPL0000054387	AN0321
Afu1g10880	ASPL0000059437	AN1189
Afu5g10830	ASPL0000070923	AN4721
Afu3g08810	ASPL0000035828	AN3014
Afu3g13790	ASPL0000038668	AN10367
Afu7g02350	ASPL0000033995	AN9079
Afu3g03430	ASPL0000001295	AN6237
Afu5g11890	ASPL0000058359	AN0113
Afu2g05020	ASPL0000049661	dopA
Afu3g06780	ASPL0000070569	AN4789
Afu5g06070	ASPL0000043806	AN2300
Afu2g11810	ASPL0000000189	AN6200
Afu1g10940	ASPL0000057469	sskB
Afu2g02360	ASPL0000070415	AN4623
Afu2g14080	ASPL0000008486	AN6364
Afu6g09980	ASPL0000051085	AN2119
Afu1g01490	ASPL0000058289	AN0391
Afu5g01730	ASPL0000010229	AN8076
Afu8g02650	ASPL0000045750	AN8892
Afu2g01760	ASPL0000066878	AN7222
Afu4g12680	ASPL0000017987	sldI
Afu1g03380	ASPL0000062541	AN0265
Afu2g04700	ASPL0000048811	AN2068
Afu2g11110	ASPL0000004872	AN5899
Afu6g12340	ASPL0000010091	AN3735
Afu5g10120	ASPL0000029611	AN5318
Afu2g07950	ASPL0000008624	AN5839
Afu6g04000	ASPL0000003193	AN6590
Afu8g00540	ASPL0000033796	AN8412
Afu1g08790	ASPL0000061365	kapK
Afu1g13060	ASPL0000056713	AN0646
Afu1g13690	ASPL0000051923	AN0703
Afu2g12980	ASPL0000002981	AN6257
Afu1g13920	ASPL0000058343	AN9437
Afu2g09120	ASPL0000006043	AN6076
Afu1g13100	ASPL0000052260	AN10112
Afu5g08550	ASPL0000073203	AN4719
Afu2g04650	ASPL0000042184	AN2065
Afu2g16240	ASPL0000043556	AN2130
Afu4g08300	ASPL0000041666	AN1708
Afu8g04950	ASPL0000043622	AN1494
Afu2g16140	ASPL0000047470	AN2138
Afu6g03950	ASPL0000008463	AN6614
Afu7g04600	ASPL0000016974	AN10442
Afu1g06790	ASPL0000030160	AN5717
Afu5g09480	ASPL0000075379	AN8812
Afu2g13570	ASPL0000005995	AN6334
Afu5g07710	ASPL0000065564	apsA
Afu4g11650	ASPL0000029904	AN5571
Afu4g06750	ASPL0000071911	sepH
Afu1g12550	ASPL0000061595	AN1039
Afu8g05630	ASPL0000046988	chsD
Afu2g02220	ASPL0000076087	AN4601
Afu6g04840	ASPL0000003889	hypA
Afu1g13710	ASPL0000058090	AN0705
Afu4g13460	ASPL0000029662	AN5643
Afu5g10660	ASPL0000047381	AN10285
Afu2g14130	ASPL0000007671	AN6354
Afu2g06000	ASPL0000067206	AN7451
Afu2g01820	ASPL0000073559	AN10574
Afu1g10050	ASPL0000055571	AN1266
Afu2g10150	ASPL0000002697	AN5991
Afu6g03580	ASPL0000006180	AN6651
Afu2g07710	ASPL0000006947	AN5827
Afu4g13320	ASPL0000048801	AN1948
Afu1g12840	ASPL0000053621	niiA
Afu1g15110	ASPL0000052916	AN0854
Afu2g15050	ASPL0000067792	AN7576
Afu1g12540	ASPL0000058427	AN1038
Afu6g06520	ASPL0000030338	AN5776
Afu2g05610	ASPL0000066087	AN7474
Afu4g01580	ASPL0000031206	AN8562
Afu6g02410	ASPL0000076931	AN8701
Afu1g05310	ASPL0000056220	AN0247
Afu4g06480	ASPL0000070473	AN4349
Afu5g03400	ASPL0000014308	AN8210
Afu5g11970	ASPL0000055706	pkcA
Afu3g10800	ASPL0000070619	AN4908
Afu2g12940	ASPL0000001256	AN6261
Afu4g03760	ASPL0000068002	AN10901
Afu6g09990	ASPL0000042571	AN2120
Afu2g15760	ASPL0000051011	AN10266
Afu4g04760	ASPL0000066809	uvsB
Afu2g10010	ASPL0000008954	AN6006
Afu6g12630	ASPL0000010748	AN3702
Afu4g08480	ASPL0000047917	AN1700
Afu5g12640	ASPL0000055321	AN0040
Afu2g13490	ASPL0000007792	AN10807
Afu3g05530	ASPL0000038678	AN3451
Afu1g04360	ASPL0000054906	AN0462
Afu1g09040	ASPL0000054438	rgsC
Afu6g13650	ASPL0000026344	AN10673
Afu1g04210	ASPL0000010869	hulF
Afu8g04800	ASPL0000046813	AN10195
Afu5g11590	ASPL0000060537	AN0137
Afu1g15520	ASPL0000052555	lamA
Afu4g12070	ASPL0000017942	AN3643
Afu1g07720	ASPL0000031805	AN5102
Afu1g10400	ASPL0000060203	nup120
Afu4g07160	ASPL0000070749	AN4412
Afu7g02480	ASPL0000038622	AN9063
Afu3g11080	ASPL0000071053	AN4887
Afu2g11740	ASPL0000003307	AN6193
Afu2g03700	ASPL0000010689	AN3817
Afu1g09870	ASPL0000060749	AN1280
Afu3g08200	ASPL0000039697	AN2936
Afu2g01500	ASPL0000068770	AN7676
Afu1g05200	ASPL0000040786	AN2743
Afu7g05540	ASPL0000008188	AN6702
Afu6g03690	ASPL0000001188	enaA
Afu1g03970	ASPL0000017318	AN4038
Afu7g05430	ASPL0000002256	nmdA
Afu4g12250	ASPL0000011287	AN3657
Afu5g07440	ASPL0000063593	AN11010
Afu3g08780	ASPL0000035109	AN3012
Afu3g07640	ASPL0000077585	pmaA
Afu3g05500	ASPL0000035908	pom152
Afu1g01720	ASPL0000060900	AN0235
Afu7g03790	ASPL0000012599	AN4274
Afu4g11110	ASPL0000032357	AN5624
Afu4g03840	ASPL0000068126	AN7103
Afu4g07610	ASPL0000074495	AN9434
Afu4g07560	ASPL0000075297	AN4472
Afu2g05970	ASPL0000068410	AN7455
Afu2g01520	ASPL0000069456	AN7678
Afu6g10390	ASPL0000049621	sepK
Afu4g10770	ASPL0000045184	ppoA
Afu5g05870	ASPL0000076059	AN11128
Afu2g09070	ASPL0000008285	AN6071
Afu5g10510	ASPL0000003812	AN6779
Afu8g02780	ASPL0000043673	AN8880
Afu1g05420	ASPL0000009715	AN4066
Afu2g12410	ASPL0000000664	AN6286
Afu6g10980	ASPL0000052925	AN0596
Afu1g10970	ASPL0000052724	AN1177
Afu2g05860	ASPL0000065404	AN7464
Afu6g03960	ASPL0000004457	AN6615
Afu5g02170	ASPL0000017764	AN8056
Afu3g05700	ASPL0000035938	AN3438
Afu8g03990	ASPL0000047042	AN1408
Afu1g07090	ASPL0000028717	AN5154
Afu2g04140	ASPL0000030314	AN5221
Afu3g08650	ASPL0000036964	AN2998
Afu1g13200	ASPL0000055223	AN0659
Afu5g01750	ASPL0000009349	AN8074
Afu4g06570	ASPL0000071951	AN4369
Afu3g11590	ASPL0000038506	AN2887
Afu6g07580	ASPL0000044909	AN1908
Afu7g05250	ASPL0000000577	AN6675
Afu5g02010	ASPL0000015933	AN8044
Afu4g09440	ASPL0000041977	enaB
Afu5g02140	ASPL0000011683	AN8053
Afu2g15870	ASPL0000048423	AN2164
Afu3g13970	ASPL0000035952	AN3188
Afu2g08660	ASPL0000002182	AN6132
Afu2g17220	ASPL0000069882	amdX
Afu6g08920	ASPL0000043602	AN1752
Afu3g11200	ASPL0000073993	AN4876
Afu2g02560	ASPL0000072207	AN4547
Afu2g08470	ASPL0000003042	AN6150
Afu4g07910	ASPL0000012377	AN3853
Afu3g03670	ASPL0000057935	AN0404
Afu4g13440	ASPL0000048785	AN1956
Afu7g04710	ASPL0000010953	AN3761
Afu1g03820	ASPL0000014477	AN4032
Afu6g04710	ASPL0000001478	AN6538
Afu5g05520	ASPL0000071957	AN8864
Afu2g06070	ASPL0000068414	AN7447
Afu1g02540	ASPL0000061296	AN0317
Afu3g14420	ASPL0000045446	chsB
Afu3g04300	ASPL0000028429	AN5797
Afu6g08600	ASPL0000011251	AN3907
Afu1g13250	ASPL0000063018	AN0664
Afu3g02570	ASPL0000062507	AN0523
Afu1g09790	ASPL0000056631	AN1286
Afu4g04180	ASPL0000065260	chsA
Afu2g11760	ASPL0000000131	AN10788
Afu6g08120	ASPL0000009709	sldA
Afu6g12830	ASPL0000011603	AN3720
Afu6g06740	ASPL0000030946	AN5743
Afu5g08040	ASPL0000068604	AN11007
Afu2g08650	ASPL0000004047	AN6136
Afu5g03710	ASPL0000013660	AN8235
Afu4g07340	ASPL0000072757	AN10556
Afu3g08400	ASPL0000037473	AN2973
Afu4g12620	ASPL0000011958	AN3624
Afu1g06060	ASPL0000014723	AN4210
Afu2g10820	ASPL0000001605	AN10757
Afu8g04040	ASPL0000050546	AN1413
Afu4g09150	ASPL0000003287	AN6443
Afu1g02680	ASPL0000054401	AN0305
Afu3g09850	ASPL0000073909	AN10621
Afu3g09700	ASPL0000039645	AN3080
Afu2g15610	ASPL0000068622	AN7609
Afu6g10380	ASPL0000044097	AN2458
Afu3g11020	ASPL0000073973	AN4892
Afu3g06140	ASPL0000038600	AN2756
Afu5g09850	ASPL0000077453	AN8787
Afu2g16600	ASPL0000065466	AN7325
Afu3g09740	ASPL0000071105	AN5011
Afu6g07280	ASPL0000031515	AN5194
Afu5g03500	ASPL0000015014	AN11054
Afu4g04310	ASPL0000065274	AN7016
Afu4g03900	ASPL0000068108	foxA
Afu2g10320	ASPL0000001806	AN5981
Afu4g07140	ASPL0000074831	AN10551
Afu6g11200	ASPL0000060048	AN0575
Afu4g04720	ASPL0000069114	nic96
Afu1g02570	ASPL0000051982	AN0314
Afu6g02910	ASPL0000077969	AN8770
Afu8g03880	ASPL0000042324	AN9419
Afu7g04480	ASPL0000012704	AN3749
Afu2g10610	ASPL0000006005	AN5972
Afu5g06450	ASPL0000051037	digA
Afu8g04520	ASPL0000049811	AN1462
Afu3g09370	ASPL0000038802	AN3062
Afu3g11000	ASPL0000074643	AN4894
Afu5g08670	ASPL0000072439	AN4709
Afu3g10690	ASPL0000076977	AN4920
Afu2g01870	ASPL0000077375	chsC
Afu5g12600	ASPL0000056426	AN0044
Afu6g06990	ASPL0000026563	AN5167
Afu1g15900	ASPL0000052758	AN0926
Afu6g14220	ASPL0000033533	AN5343
Afu2g03080	ASPL0000074357	AN4518
Afu1g14960	ASPL0000061178	AN0837
Afu4g03850	ASPL0000065013	AN7104
Afu4g04670	ASPL0000064305	AN6986
Afu1g09820	ASPL0000058751	AN1283
Afu1g14620	ASPL0000058457	AN0803
Afu3g14010	ASPL0000049563	AN2491
Afu7g01420	ASPL0000039500	AN10393
Afu4g12210	ASPL0000009533	AN3653
Afu2g04920	ASPL0000049687	nup159
Afu4g06690	ASPL0000074083	AN4380
Afu4g11300	ASPL0000031693	AN5606
Afu1g03590	ASPL0000012088	AN4053
Afu6g06550	ASPL0000031617	AN10707
Afu2g13360	ASPL0000008250	AN10794
Afu6g02530	ASPL0000070525	AN8713
Afu5g12050	ASPL0000057134	AN0097
Afu2g03150	ASPL0000076343	kipB
Afu6g04290	ASPL0000001716	AN6589
Afu1g06330	ASPL0000012352	AN4223
Afu2g05410	ASPL0000069324	AN7504
Afu8g05680	ASPL0000050478	plkA
Afu5g11720	ASPL0000062698	AN10020
Afu2g05520	ASPL0000067976	AN7496
Afu1g10760	ASPL0000056318	AN1200
Afu2g04720	ASPL0000046903	AN2072
Afu1g15270	ASPL0000053926	AN0858
Afu7g01400	ASPL0000039007	bimC
Afu3g10360	ASPL0000075665	AN4951
Afu5g11910	ASPL0000052140	AN0111
Afu3g12430	ASPL0000041180	AN3092
Afu2g17110	ASPL0000069340	AN7254
Afu2g01320	ASPL0000063319	enaC
Afu2g07690	ASPL0000000224	AN5822
Afu4g09030	ASPL0000042904	AN1638
Afu1g10390	ASPL0000057995	AN0015
Afu3g11380	ASPL0000041042	AN2905
Afu1g12180	ASPL0000051853	AN1085
Afu2g13530	ASPL0000004211	AN6330
Afu3g10350	ASPL0000072079	AN4952
Afu5g06410	ASPL0000049044	amdA
Afu1g03170	ASPL0000059073	AN9260
Afu1g11970	ASPL0000057394	AN1093
Afu2g13450	ASPL0000000137	nudM
Afu3g09720	ASPL0000040420	AN3082
Afu1g09500	ASPL0000058564	hulA
Afu6g06335	ASPL0000027666	AN5795
Afu1g12680	ASPL0000059836	AN1025
Afu5g02510	ASPL0000017084	AN7993
Afu7g05790	ASPL0000003032	avaB
Afu2g07730	ASPL0000007814	AN5829
Afu3g06450	ASPL0000074005	pmtB
Afu6g04010	ASPL0000008118	AN6591
Afu2g16080	ASPL0000051067	AN2143
Afu1g16700	ASPL0000059962	AN0980
Afu3g02280	ASPL0000053220	AN9340
Afu5g04330	ASPL0000012575	AN4282
Afu4g07540	ASPL0000073843	AN4460
Afu2g08780	ASPL0000000482	AN6120
Afu3g05720	ASPL0000039590	apsB
Afu3g10640	ASPL0000071359	AN4926
Afu4g06020	ASPL0000076667	AN4310
Afu2g02850	ASPL0000075075	AN4536
Afu8g04060	ASPL0000047016	AN1416
Afu1g11080	ASPL0000056639	AN1171
Afu7g02290	ASPL0000036442	AN11163
Afu2g11430	ASPL0000000454	AN5873
Afu5g11750	ASPL0000055690	AN0122
Afu1g03500	ASPL0000055668	AN0253
Afu1g15720	ASPL0000063002	kapB
Afu7g05340	ASPL0000001392	AN6685
Afu1g07050	ASPL0000033305	AN5157
Afu1g13910	ASPL0000055138	AN9436
Afu6g07310	ASPL0000028916	AN5197
Afu5g03320	ASPL0000009371	AN8201
Afu3g11040	ASPL0000073113	AN4890
Afu2g16640	ASPL0000067902	AN7314
Afu3g12740	ASPL0000034395	AN3117
Afu3g14700	ASPL0000010159	AN3612
Afu2g03750	ASPL0000017334	AN3811
Afu5g06600	ASPL0000044476	AN2255
Afu7g01610	ASPL0000035590	AN9146
Afu1g14570	ASPL0000057819	AN0797
Afu6g13930	ASPL0000047478	AN1784
Afu1g12920	ASPL0000059322	AN1015
Afu8g00370	ASPL0000069156	AN7084
Afu6g12930	ASPL0000027768	AN5525
Afu1g14170	ASPL0000052580	AN0756
Afu6g06400	ASPL0000027670	AN5787
Afu5g11620	ASPL0000059403	AN0133
Afu1g12900	ASPL0000058995	AN10140
Afu4g07360	ASPL0000077429	AN4443
Afu7g05660	ASPL0000007308	AN6700
Afu5g09250	ASPL0000052132	AN0242
Afu5g13310	ASPL0000006122	AN6889
Afu1g16800	ASPL0000060573	AN0990
Afu6g13030	ASPL0000027790	AN5517
Afu1g14690	ASPL0000061006	AN0810
Afu1g09200	ASPL0000053878	AN1367
Afu1g05740	ASPL0000012331	AN4096
Afu1g04560	ASPL0000059350	AN10079
Afu4g11450	ASPL0000027978	AN5592
Afu3g11660	ASPL0000039894	AN2880
Afu1g08920	ASPL0000051994	AN1386
Afu8g05370	ASPL0000050530	AN1528
Afu5g10890	ASPL0000058337	AN0228
Afu3g11500	ASPL0000038494	AN2895
Afu1g12790	ASPL0000060825	AN1002
Afu5g07100	ASPL0000050763	AN2215
Afu4g00660	ASPL0000001404	AN6820
Afu4g03960	ASPL0000065965	farA
Afu1g03400	ASPL0000061491	AN0261
Afu1g03760	ASPL0000016428	AN4028
Afu2g05310	ASPL0000063847	AN7508
Afu2g16780	ASPL0000063459	AN7303
Afu4g07260	ASPL0000077445	AN4435
Afu6g12910	ASPL0000027956	AN10677
Afu1g09070	ASPL0000056440	AN1374
Afu2g14180	ASPL0000004519	AN6349
Afu4g03860	ASPL0000068724	AN7105
Afu4g12790	ASPL0000013302	acrB
Afu2g17170	ASPL0000068084	AN7250
Afu1g10860	ASPL0000054621	nup84
Afu7g05580	ASPL0000009030	pldA
Afu6g12270	ASPL0000027463	AN10722
Afu4g03970	ASPL0000064755	AN7049
Afu1g06920	ASPL0000027525	AN5728
Afu1g04780	ASPL0000056160	AN10078
Afu1g15470	ASPL0000057014	uaY
Afu1g04980	ASPL0000055827	AN0407
Afu4g10150	ASPL0000048519	agdA
Afu6g04730	ASPL0000003883	AN6541
Afu2g05670	ASPL0000065382	AN7480
Afu5g13240	ASPL0000006721	AN6880
Afu2g03090	ASPL0000077945	AN4517
Afu4g00320	ASPL0000050211	AN2581
Afu7g01320	ASPL0000036954	AN3368
Afu6g09220	ASPL0000065871	AN7538
Afu6g04330	ASPL0000009016	AN6585
Afu5g04080	ASPL0000011731	AN11065
Afu1g15310	ASPL0000059131	AN0872
Afu1g14810	ASPL0000056330	kfsA
Afu5g13600	ASPL0000006985	AN6911
Afu2g08060	ASPL0000008042	AN10735
Afu6g11120	ASPL0000054300	AN0583
Afu7g03940	ASPL0000013195	AN10533
Afu2g09170	ASPL0000003385	AN10769
Afu4g06070	ASPL0000074597	AN4315
Afu4g13000	ASPL0000013864	AN3580
Afu6g07500	ASPL0000027656	AN5216
Afu6g08570	ASPL0000012133	AN3909
Afu2g03170	ASPL0000071193	AN4510
Afu1g03030	ASPL0000062067	AN9448
Afu2g02880	ASPL0000072749	AN10564
Afu2g16230	ASPL0000050448	AN9538
Afu4g12440	ASPL0000011277	AN3665
Afu6g04910	ASPL0000008770	AN6526
Afu1g14510	ASPL0000053098	AN0782
Afu5g11870	ASPL0000061266	AN10017
Afu3g09900	ASPL0000077559	AN4998
Afu3g10030	ASPL0000071611	AN4985
Afu3g11320	ASPL0000077581	AN4867
Afu1g06030	ASPL0000012367	AN4207
Afu4g11910	ASPL0000013634	AN3628
Afu2g10140	ASPL0000007683	AN5992
Afu5g07190	ASPL0000042521	AN2227
Afu3g08750	ASPL0000039484	AN3005
Afu3g05560	ASPL0000036706	AN3448
Afu6g11400	ASPL0000053808	AN0557
Afu4g06400	ASPL0000076093	palA
Afu5g06420	ASPL0000047432	steC
Afu4g00960	ASPL0000034836	AN3223
Afu5g11940	ASPL0000062093	AN0108
Afu3g11740	ASPL0000035494	mcnC
Afu2g04450	ASPL0000048173	hulD
Afu1g02030	ASPL0000058305	AN0359
Afu5g10420	ASPL0000027317	AN8449
Afu2g11260	ASPL0000007160	AN5886
Afu1g12340	ASPL0000062608	facC
Afu1g03920	ASPL0000009633	AN10497
Afu5g02520	ASPL0000012760	AN7994
Afu6g08170	ASPL0000018205	AN3944
Afu1g09640	ASPL0000053760	AN1324
Afu8g04750	ASPL0000049203	AN1479
Afu4g08500	ASPL0000048829	AN1698
Afu7g05620	ASPL0000005885	AN6715
Afu7g05960	ASPL0000006759	AN6733
Afu1g15050	ASPL0000061758	AN0847
Afu1g07320	ASPL0000031843	sepB
Afu1g11180	ASPL0000062455	AN1163
Afu6g12980	ASPL0000033728	alpA
Afu7g01030	ASPL0000029722	AN8399
Afu4g12980	ASPL0000014821	AN3582
Afu2g14510	ASPL0000048023	AN2391
Afu1g01020	ASPL0000010837	AN8019
Afu8g04430	ASPL0000045343	AN1455
Afu7g01600	ASPL0000037129	AN11181
Afu6g11220	ASPL0000053806	AN0573
Afu4g08570	ASPL0000042503	AN10227
Afu3g05650	ASPL0000037859	orlA
Afu2g12880	ASPL0000007982	AN6266
Afu1g06810	ASPL0000011793	AN3894
Afu6g12890	ASPL0000030630	AN10682
Afu6g02700	ASPL0000076401	AN8742
Afu1g05130	ASPL0000035095	AN2749
Afu4g11320	ASPL0000026783	AN5603
Afu3g12450	ASPL0000037485	AN3093
Afu5g05900	ASPL0000070493	AN8836
Afu3g11990	ASPL0000038316	AN2852
Afu4g03020	ASPL0000051593	AN2487
Afu5g02480	ASPL0000011435	AN8010
Afu2g12220	ASPL0000007447	AN6303
Afu1g02480	ASPL0000053015	AN0318
Afu5g03090	ASPL0000015866	AN8183
Afu6g06340	ASPL0000032301	AN10709
Afu6g08560	ASPL0000012893	AN10486
Afu2g15620	ASPL0000069742	AN7610
Afu1g13010	ASPL0000056677	AN1024
Afu6g10410	ASPL0000046769	AN2461
Afu6g03570	ASPL0000002016	AN6652
Afu4g09020	ASPL0000051195	AN1634
Afu8g04500	ASPL0000047341	pmtC
Afu1g13720	ASPL0000061232	AN0706
Afu1g16830	ASPL0000061052	AN10105
Afu6g13660	ASPL0000031995	AN5403
Afu7g03890	ASPL0000016922	AN4265
Afu6g08700	ASPL0000011148	AN10482
Afu5g09610	ASPL0000073957	AN8800
Afu2g05540	ASPL0000068168	AN10944
Afu3g08020	ASPL0000039245	AN10350
Afu1g06560	ASPL0000018057	AN3504
Afu5g12100	ASPL0000053007	AN0092
Afu6g02710	ASPL0000072787	AN8743
Afu1g02990	ASPL0000058488	AN0287
Afu1g14260	ASPL0000055014	AN0763
Afu1g05490	ASPL0000018201	AN4072
Afu5g07140	ASPL0000050747	AN2223
Afu5g14550	ASPL0000040482	AN3201
Afu7g00480	ASPL0000059409	AN9342
Afu3g15190	ASPL0000047080	AN9037
Afu1g05960	ASPL0000016729	AN10522
Afu8g02840	ASPL0000044708	AN8874
Afu2g08900	ASPL0000006393	AN6107
Afu1g05770	ASPL0000013284	AN4102
Afu4g02990	ASPL0000042966	AN2480
Afu3g10650	ASPL0000074939	AN4925
Afu1g06080	ASPL0000010633	AN4211
Afu1g14180	ASPL0000055599	AN0757
Afu1g05930	ASPL0000012354	AN10515
Afu4g08110	ASPL0000014795	AN3832
Afu3g05490	ASPL0000040294	AN3455
Afu3g08970	ASPL0000034670	AN3029
Afu1g03050	ASPL0000062874	AN10063
Afu1g10200	ASPL0000053069	AN1259
Afu2g10950	ASPL0000001636	AN5914
Afu2g15000	ASPL0000069490	AN7571
Afu1g05100	ASPL0000037083	AN2736
Afu6g03940	ASPL0000001216	AN6618
Afu5g04170	ASPL0000018308	hsp90
Afu1g14500	ASPL0000061399	AN0781
Afu1g06400	ASPL0000010901	schA
Afu6g04250	ASPL0000002647	AN6611
Afu6g02300	ASPL0000080199	AN11101
Afu2g03930	ASPL0000010371	AN3794
Afu4g13700	ASPL0000026953	AN5662
Afu2g14920	ASPL0000069494	AN7563
Afu1g05020	ASPL0000034904	sB
Afu3g08500	ASPL0000038211	AN2983
Afu5g10630	ASPL0000047767	AN2308
Afu1g10320	ASPL0000052549	AN1249
Afu6g11910	ASPL0000013688	AN7865
Afu1g12830	ASPL0000061986	niaD
Afu4g06600	ASPL0000071931	AN4377
Afu6g13850	ASPL0000033259	AN5407
